page_id,shortname,name,default_value,sort,created_at,updated_at
23,personal_117,,"Мне кажется ,я знаю про отправление и получение посылок всё! Ежедневные курьеры и доставки — неотъемлемая часть любого блога Даже Лиза уже при звонке в домофон говорит : «скажи дяде курьеру,что 13 этаж» Поэтому делюсь с вами новым удобным форматом отправления посылок от @cdek_official Ты просто покупаешь коробку нужного размера и кладешь туда всё,что вместится!
Тк в цену коробки уже включена доставка и вес!
Отдаешь коробку сотруднику и все
Никаких очередей
У этой новинки есть свой тег",1170,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_118,,"Алексей Кузьмин",1180,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_119,,"Мне кажется ,я знаю про отправление и получение посылок всё! Ежедневные курьеры и доставки — неотъемлемая часть любого блога Даже Лиза уже при звонке в домофон говорит : «скажи дяде курьеру,что 13 этаж» Поэтому делюсь с вами новым удобным форматом отправления посылок от @cdek_official Ты просто покупаешь коробку нужного размера и кладешь туда всё,что вместится!
Тк в цену коробки уже включена доставка и вес!
Отдаешь коробку сотруднику и все
Никаких очередей
У этой новинки есть свой тег",1190,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_120,,"Екатерина Зеленская",1200,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_121,,"Мне кажется ,я знаю про отправление и получение посылок всё! Ежедневные курьеры и доставки — неотъемлемая часть любого блога Даже Лиза уже при звонке в домофон говорит : «скажи дяде курьеру,что 13 этаж» Поэтому делюсь с вами новым удобным форматом отправления посылок от @cdek_official Ты просто покупаешь коробку нужного размера и кладешь туда всё,что вместится!
Тк в цену коробки уже включена доставка и вес!
Отдаешь коробку сотруднику и все
Никаких очередей
У этой новинки есть свой тег",1210,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_122,,"Алексей Кузьмин",1220,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_123,,"Мне кажется ,я знаю про отправление и получение посылок всё! Ежедневные курьеры и доставки — неотъемлемая часть любого блога Даже Лиза уже при звонке в домофон говорит : «скажи дяде курьеру,что 13 этаж» Поэтому делюсь с вами новым удобным форматом отправления посылок от @cdek_official Ты просто покупаешь коробку нужного размера и кладешь туда всё,что вместится!
Тк в цену коробки уже включена доставка и вес!
Отдаешь коробку сотруднику и все
Никаких очередей
У этой новинки есть свой тег",1230,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_124,,"Екатерина Зеленская",1240,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_125,,"Мне кажется ,я знаю про отправление и получение посылок всё! Ежедневные курьеры и доставки — неотъемлемая часть любого блога Даже Лиза уже при звонке в домофон говорит : «скажи дяде курьеру,что 13 этаж» Поэтому делюсь с вами новым удобным форматом отправления посылок от @cdek_official Ты просто покупаешь коробку нужного размера и кладешь туда всё,что вместится!
Тк в цену коробки уже включена доставка и вес!
Отдаешь коробку сотруднику и все
Никаких очередей
У этой новинки есть свой тег",1250,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_126,,"Алексей Кузьмин",1260,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_127,,"Мне кажется ,я знаю про отправление и получение посылок всё! Ежедневные курьеры и доставки — неотъемлемая часть любого блога Даже Лиза уже при звонке в домофон говорит : «скажи дяде курьеру,что 13 этаж» Поэтому делюсь с вами новым удобным форматом отправления посылок от @cdek_official Ты просто покупаешь коробку нужного размера и кладешь туда всё,что вместится!
Тк в цену коробки уже включена доставка и вес!
Отдаешь коробку сотруднику и все
Никаких очередей
У этой новинки есть свой тег",1270,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_128,,"Екатерина Зеленская",1280,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_129,,"Мне кажется ,я знаю про отправление и получение посылок всё! Ежедневные курьеры и доставки — неотъемлемая часть любого блога Даже Лиза уже при звонке в домофон говорит : «скажи дяде курьеру,что 13 этаж» Поэтому делюсь с вами новым удобным форматом отправления посылок от @cdek_official Ты просто покупаешь коробку нужного размера и кладешь туда всё,что вместится!
Тк в цену коробки уже включена доставка и вес!
Отдаешь коробку сотруднику и все
Никаких очередей
У этой новинки есть свой тег",1290,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_130,,"Алексей Кузьмин",1300,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_131,,"Мне кажется ,я знаю про отправление и получение посылок всё! Ежедневные курьеры и доставки — неотъемлемая часть любого блога Даже Лиза уже при звонке в домофон говорит : «скажи дяде курьеру,что 13 этаж» Поэтому делюсь с вами новым удобным форматом отправления посылок от @cdek_official Ты просто покупаешь коробку нужного размера и кладешь туда всё,что вместится!
Тк в цену коробки уже включена доставка и вес!
Отдаешь коробку сотруднику и все
Никаких очередей
У этой новинки есть свой тег",1310,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_132,,"Мнение наших клиентов очень важно для нас.",1320,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_133,,"Вы можете оставить отзыв о нашей работе через форму обратной связи.",1330,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_134,,"Оставить отзыв",1340,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_135,,"Посмотрите работу офиса онлайн",1350,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_136,,"Мы ― открытая компания. Посмотрите, как выглядит и работает наш офис в режиме реального времени.",1360,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_137,,"Последние новости",1370,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_138,,"21 апреля 2021",1380,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_139,,"Как отправить посылку из США в Россию?",1390,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_140,,"Если вы нашли качественные дешевые вещи в американском интернет-магазине, но доставка заказа возможна только по США, есть простой способ отправки посылки в Россию.",1400,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_141,,"21 апреля 2021",1410,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_142,,"Как отправить посылку из США в Россию?",1420,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_143,,"Если вы нашли качественные дешевые вещи в американском интернет-магазине, но доставка заказа возможна только по США, есть простой способ отправки посылки в Россию.",1430,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_144,,"21 апреля 2021",1440,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_145,,"Как отправить посылку из США в Россию?",1450,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_146,,"Если вы нашли качественные дешевые вещи в американском интернет-магазине, но доставка заказа возможна только по США, есть простой способ отправки посылки в Россию.",1460,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_147,,"21 апреля 2021",1470,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_148,,"Как отправить посылку из США в Россию?",1480,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_149,,"Если вы нашли качественные дешевые вещи в американском интернет-магазине, но доставка заказа возможна только по США, есть простой способ отправки посылки в Россию.",1490,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_150,,"Обратная связь",1500,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_151,,"Хотите узнать подробности или задать вопросы? Заполните эту форму.",1510,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_152,,"Мы получим вашу заявку, и наши менеджеры с вами свяжутся.",1520,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_153,,"Нажимая на кнопку, я соглашаюсь на",1530,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_154,,"обработку персональных данных",1540,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_155,,Сообщение,1550,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_156,,"успешно отправлено!",1560,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_157,,"Постаремся ответить на ваш запрос как можно скорее.",1570,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_158,,"Сообщение не отправлено!",1580,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_159,,"Что-то пошло не так, попробуйте отправить еще раз позднее.",1590,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_160,,Facebook,1600,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_161,,Instagram,1610,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_162,,"Курьерская компания СДЭК, © 2000-2021",1620,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_163,,"Политика конфиденциальности",1630,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_164,,"Made by CDEK",1640,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_165,,"CDEK Europe GmbH",1650,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_166,,"Registration court: Amtsgericht Frankfurt/Oder",1660,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_167,,"Registration number: HRB 18481",1670,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_168,,"+39 39 364 77 496",1680,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_169,,rimini@cdek.ru,1690,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_170,,"Обратная связь",1700,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_171,,"Я соглашаюсь с",1710,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_172,,"условиями обработки персональных данных",1720,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_173,,Сообщение,1730,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_174,,"успешно отправлено!",1740,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_175,,"Постаремся ответить на ваш запрос как можно скорее.",1750,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_176,,Ошибка!,1760,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_177,,"Что-то пошло не так, попробуйте отправить еще раз позднее.",1770,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_178,,"21 апреля 2021",1780,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_179,,"Как отправить посылку из США в Россию?",1790,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_180,,"Если вы нашли качественные дешевые вещи в американском интернет-магазине, но доставка заказа возможна только по США, есть простой способ отправки посылки в Россию.",1800,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_181,,"Если вы нашли качественные дешевые вещи в американском интернет-магазине, но доставка заказа возможна только по США, есть простой способ отправки посылки в Россию.",1810,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_182,,"Екатерина Зеленская",1820,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_183,,"Мне кажется ,я знаю про отправление и получение посылок всё! Ежедневные курьеры и доставки — неотъемлемая часть любого блога Даже Лиза уже при звонке в домофон говорит : «скажи дяде курьеру,что 13 этаж» Поэтому делюсь с вами новым удобным форматом отправления посылок от @cdek_official Ты просто покупаешь коробку нужного размера и кладешь туда всё,что вместится! Тк в цену коробки уже включена доставка и вес!
Отдаешь коробку сотруднику и все никаких очередей.",1830,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_184,,"Получить презентацию",1840,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_185,,"Я соглашаюсь с",1850,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_186,,"условиями обработки персональных данных",1860,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_187,,"Спасибо за скачивание!",1870,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_188,,"Если у вас появились вопросы, задайте их нашему менеджеру по телефону или воспользуйтесь формой обратной связи.",1880,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_189,,"Скачать презентацию",1890,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_190,,"Произошла ошибка",1900,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_191,,"Пожалуйста, повторите попытку позже.",1910,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_192,,Social,1920,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_193,,"Per generare, indirizzare e distribuire meglio le comunicazioni di marketing tramite il social network.",1930,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_194,,Ricerca,1940,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_195,,"Per Usata per generare sondaggi e altri metodi per ricevere preziose indicazioni da parte degli utenti del nostro sito. I sondaggi di ricerca possono essere indirizzati a utenti e configurazioni specifici. Gli utenti hanno la possibilítà1 di scegliere se partecipare o meno al sondaggio., indirizzare e distribuire meglio le comunicazioni di marketing tramite il social network.",1950,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_196,,"Más detalles",1960,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_197,,Conferma,1970,"2021-07-08 20:00:00","2021-07-08 20:00:00"
